baumkategorie;baumart;bewertungskategorie;wert;szenario;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Grosskronige Arten;Quercus petraea (Traubeneiche);regenwasser_mw;325,0;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;115,0;325,0;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);regenwasser_mw;325,0;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;115,0;325,0;1,0000000000000000;0,006000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);regenwasser_mw;325,0;Szenario 3: Radikaler Lebenszyklus;0,0120;multifunktionale_nutzungsqualitaet;115,0;325,0;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);groesse_baumrigolen;38,0;Szenario 0: Baseline (IST);0,1000;langlebigkeit_wirtschaftlichkeit;6,0;38,0;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);groesse_baumrigolen;38,0;Szenario 1: Forschungsfokus;0,1000;langlebigkeit_wirtschaftlichkeit;6,0;38,0;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);groesse_baumrigolen;38,0;Szenario 2: Radikale Vermeidung;0,0125;langlebigkeit_wirtschaftlichkeit;6,0;38,0;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);groesse_baumrigolen;38,0;Szenario 3: Radikaler Lebenszyklus;0,2000;langlebigkeit_wirtschaftlichkeit;6,0;38,0;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);pflegeaufwand;2,0;Szenario 0: Baseline (IST);0,1000;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,050000000000000003
Grosskronige Arten;Quercus petraea (Traubeneiche);pflegeaufwand;2,0;Szenario 1: Forschungsfokus;0,1000;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,050000000000000003
Grosskronige Arten;Quercus petraea (Traubeneiche);pflegeaufwand;2,0;Szenario 2: Radikale Vermeidung;0,0125;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,006250000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);pflegeaufwand;2,0;Szenario 3: Radikaler Lebenszyklus;0,2000;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,100000000000000006
Grosskronige Arten;Quercus petraea (Traubeneiche);recyclingpotential;3,0;Szenario 0: Baseline (IST);0,1000;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,100000000000000006
Grosskronige Arten;Quercus petraea (Traubeneiche);recyclingpotential;3,0;Szenario 1: Forschungsfokus;0,2500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,250000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);recyclingpotential;3,0;Szenario 2: Radikale Vermeidung;0,4500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,450000000000000011
Grosskronige Arten;Quercus petraea (Traubeneiche);recyclingpotential;3,0;Szenario 3: Radikaler Lebenszyklus;0,0500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,050000000000000003
